street_clean,city_clean,State,Zip,price,bedrooms,baths_label,bed_bath,sqft_living,price_per_sqft,lot_acres,waterfront_flag,basement_flag,view_label,condition_label,home_age,yr_renovated,years_since_update,floors,date,bathrooms,sqft_total_check,sqft_lot,waterfront,view,condition,sqft_above,sqft_basement,yr_built,street,city,statezip
105 Nw 178Th St,Shoreline,WA,98177,"$458,400",4,2 1/2,4 bd | 2.5 ba,"1,910",$240,0,No,No,None,Average,104,1968,57,1,7/8/2014,2.50,"1,910","10,300",0,0,3,"1,910",0,1921,105 NW 178th St,Shoreline,WA 98177
8927 Ne 176Th St,Bothell,WA,98011,"$458,000",3,2 1/2,3 bd | 2.5 ba,"1,870",$245,0,No,No,None,Average,22,0,22,2,6/20/2014,2.50,"1,870","5,013",0,0,3,"1,870",0,2003,8927 NE 176th St,Bothell,WA 98011
9631 Ne 198Th St,Bothell,WA,98011,"$458,000",5,2 1/2,5 bd | 2.5 ba,"3,090",$148,1,No,Yes,None,Average,68,2000,25,1,5/30/2014,2.50,"3,090","23,265",0,0,3,"2,990",100,1957,9631 NE 198th St,Bothell,WA 98011
4402 4Th Ave Ne,Seattle,WA,98105,"$458,000",4,1 1/2,4 bd | 1.5 ba,"1,550",$295,0,No,Yes,None,Average,107,0,107,1.5,6/17/2014,1.50,"1,550","3,000",0,0,3,"1,350",200,1918,4402 4th Ave NE,Seattle,WA 98105
2000 Ne 113Th St,Seattle,WA,98125,"$458,000",3,1  ,3 bd | 1. ba,"1,660",$276,0,No,Yes,None,Good,85,2001,24,1,5/14/2014,1.00,"1,660","7,500",0,0,4,"1,060",600,1940,2000 NE 113th St,Seattle,WA 98125
14634 128Th Ave Ne,Woodinville,WA,98072,"$458,000",1,2 1/4,1 bd | 2.25 ba,"2,140",$214,0,No,Yes,None,Average,49,0,49,1,5/20/2014,2.25,"2,140","10,350",0,0,3,"1,470",670,1976,14634 128th Ave NE,Woodinville,WA 98072
1362 31St Ave S,Seattle,WA,98144,"$457,500",3,2 1/4,3 bd | 2.25 ba,"1,430",$320,0,No,Yes,None,Average,29,0,29,2,6/24/2014,2.25,"1,430","2,003",0,0,3,980,450,1996,1362 31st Ave S,Seattle,WA 98144
1626 S Bennett St,Seattle,WA,98108,"$457,500",3,1 3/4,3 bd | 1.75 ba,"1,840",$249,0,No,Yes,None,Excellent,100,0,100,1,5/27/2014,1.75,"1,840","4,030",0,0,5,"1,050",790,1925,1626 S Bennett St,Seattle,WA 98108
24972 Se 30Th St,Sammamish,WA,98075,"$456,000",3,1 1/2,3 bd | 1.5 ba,"1,440",$317,1,No,No,None,Good,50,0,50,1,6/20/2014,1.50,"1,440","28,516",0,0,4,"1,440",0,1975,24972 SE 30th St,Sammamish,WA 98075
13205 39Th Ave Ne,Seattle,WA,98125,"$456,000",4,1 3/4,4 bd | 1.75 ba,"1,670",$273,0,No,No,None,Excellent,78,0,78,1,6/5/2014,1.75,"1,670","9,886",0,0,5,"1,670",0,1947,13205 39th Ave NE,Seattle,WA 98125
7000 Autumn Ave Se,Snoqualmie,WA,98065,"$455,600",3,2 1/2,3 bd | 2.5 ba,"2,420",$188,0,No,No,None,Average,27,2006,19,2,5/27/2014,2.50,"2,420","8,252",0,0,3,"2,420",0,1998,7000 Autumn Ave SE,Snoqualmie,WA 98065
8208 138Th Ave Ne,Redmond,WA,98052,"$455,500",3,2  ,3 bd | 2. ba,"1,460",$312,0,No,No,None,Good,50,0,50,1,5/27/2014,2.00,"1,460","10,311",0,0,4,"1,460",0,1975,8208 138th Ave NE,Redmond,WA 98052
1118 U St Nw,Auburn,WA,98001,"$455,000",4,2 1/2,4 bd | 2.5 ba,"3,170",$144,0,No,No,Good,Average,24,0,24,2,6/11/2014,2.50,"3,170","10,688",0,2,3,"3,170",0,2001,1118 U St NW,Auburn,WA 98001
16406 8Th Ave Sw,Burien,WA,98166,"$455,000",4,2 1/4,4 bd | 2.25 ba,"2,450",$186,0,No,Yes,Good,Good,71,1979,46,1,6/20/2014,2.25,"2,450","21,000",0,2,4,"1,650",800,1954,16406 8th Ave SW,Burien,WA 98166
16204 Se 2Nd St,Bellevue,WA,98008,"$455,000",4,2 1/4,4 bd | 2.25 ba,"1,740",$261,0,No,Yes,None,Good,67,1972,53,1,6/6/2014,2.25,"1,740","8,449",0,0,4,"1,170",570,1958,16204 SE 2nd St,Bellevue,WA 98008
24201-24231 Se 43Rd Ct,Issaquah,WA,98029,"$455,000",3,2 1/4,3 bd | 2.25 ba,"1,470",$310,0,No,No,None,Good,40,0,40,2,6/20/2014,2.25,"1,470","4,653",0,0,4,"1,470",0,1985,24201-24231 SE 43rd Ct,Issaquah,WA 98029
14013 101St Pl Ne,Kirkland,WA,98034,"$455,000",3,2 1/2,3 bd | 2.5 ba,"1,870",$243,0,No,Yes,None,Average,45,0,45,1,5/15/2014,2.50,"1,870","7,344",0,0,3,"1,470",400,1980,14013 101st Pl NE,Kirkland,WA 98034
21625 4Th Ave S,Normandy Park,WA,98198,"$455,000",4,3 1/2,4 bd | 3.5 ba,"3,440",$132,0,No,No,None,Good,23,0,23,2,7/8/2014,3.50,"3,440","6,000",0,0,4,"3,440",0,2002,21625 4th Ave S,Normandy Park,WA 98198
45506 Se Tanner Rd,North Bend,WA,98045,"$455,000",3,1 3/4,3 bd | 1.75 ba,"1,180",$386,0,No,No,None,Average,44,2013,12,1,6/18/2014,1.75,"1,180","14,292",0,0,3,"1,180",0,1981,45506 SE Tanner Rd,North Bend,WA 98045
16326 Ne 43Rd Ct,Redmond,WA,98052,"$455,000",2,1 1/2,2 bd | 1.5 ba,"1,310",$347,0,No,No,None,Average,55,2014,11,1.5,6/16/2014,1.50,"1,310","12,196",0,0,3,"1,310",0,1970,16326 NE 43rd Ct,Redmond,WA 98052
17019 193Rd Ave Se,Renton,WA,98058,"$455,000",4,1 3/4,4 bd | 1.75 ba,"2,050",$222,2,No,Yes,None,Good,66,0,66,1,6/6/2014,1.75,"2,050","94,525",0,0,4,"1,250",800,1959,17019 193rd Ave SE,Renton,WA 98058
5100 Ne 10Th Pl,Renton,WA,98059,"$455,000",4,2 1/2,4 bd | 2.5 ba,"2,950",$154,0,No,No,None,Average,20,0,20,2,6/24/2014,2.50,"2,950","4,502",0,0,3,"2,950",0,2005,5100 NE 10th Pl,Renton,WA 98059
18416 172Nd Ct Se,Renton,WA,98058,"$455,000",4,2 1/2,4 bd | 2.5 ba,"3,360",$135,0,No,No,None,Average,24,0,24,2,5/13/2014,2.50,"3,360","7,685",0,0,3,"3,360",0,2001,18416 172nd Ct SE,Renton,WA 98058
514 N 46Th St,Seattle,WA,98103,"$455,000",3,1 3/4,3 bd | 1.75 ba,"1,420",$320,0,No,No,None,Average,19,0,19,3,6/4/2014,1.75,"1,420","1,189",0,0,3,"1,420",0,2006,514 N 46th St,Seattle,WA 98103
301 27Th Ave S,Seattle,WA,98144,"$455,000",2,1 1/2,2 bd | 1.5 ba,"1,200",$379,0,No,Yes,None,Average,12,1923,102,2,6/24/2014,1.50,"1,200","1,259",0,0,3,"1,000",200,2013,301 27th Ave S,Seattle,WA 98144
9552 Phinney Ave N,Seattle,WA,98103,"$455,000",2,1  ,2 bd | 1. ba,"1,170",$389,0,No,Yes,None,Good,84,1998,27,1,6/2/2014,1.00,"1,170","6,000",0,0,4,970,200,1941,9552 Phinney Ave N,Seattle,WA 98103
5606 8Th Ave Ne,Seattle,WA,98105,"$455,000",3,1  ,3 bd | 1. ba,"1,300",$350,0,No,No,None,Average,98,2011,14,1.5,6/8/2014,1.00,"1,300","3,550",0,0,3,"1,300",0,1927,5606 8th Ave NE,Seattle,WA 98105
2711 Ne 75Th St,Seattle,WA,98115,"$455,000",2,1  ,2 bd | 1. ba,"1,140",$399,0,No,Yes,None,Average,78,2012,13,1,6/2/2014,1.00,"1,140","5,720",0,0,3,850,290,1947,2711 NE 75th St,Seattle,WA 98115
8215 Stone Ave N,Seattle,WA,98103,"$454,790",2,1 3/4,2 bd | 1.75 ba,"1,990",$229,0,No,Yes,None,Excellent,73,1998,27,1,7/6/2014,1.75,"1,990","4,000",0,0,5,"1,090",900,1952,8215 Stone Ave N,Seattle,WA 98103
14404 Se 216Th St,Kent,WA,98042,"$454,000",4,2 1/4,4 bd | 2.25 ba,"2,630",$173,1,No,No,None,Average,46,2014,11,2,6/13/2014,2.25,"2,630","39,000",0,0,3,"2,630",0,1979,14404 SE 216th St,Kent,WA 98042
8527 374Th Pl Se,Snoqualmie,WA,98065,"$454,000",3,1  ,3 bd | 1. ba,"1,970",$230,1,No,No,None,Good,55,0,55,1,6/25/2014,1.00,"1,970","22,144",0,0,4,"1,970",0,1970,8527 374th Pl SE,Snoqualmie,WA 98065
4404 Sw 101St St,Seattle,WA,98146,"$453,500",4,1 3/4,4 bd | 1.75 ba,"2,000",$227,0,No,Yes,Good,Average,66,1989,36,1,6/5/2014,1.75,"2,000","6,032",0,2,3,"1,300",700,1959,4404 SW 101st St,Seattle,WA 98146
16930 Se 144Th St,Renton,WA,98059,"$453,500",5,2 1/2,5 bd | 2.5 ba,"2,300",$197,1,No,Yes,None,Excellent,58,0,58,1,6/4/2014,2.50,"2,300","23,345",0,0,5,"1,170","1,130",1967,16930 SE 144th St,Renton,WA 98059
2500 Mulberry Walk Ne,Issaquah,WA,98029,"$453,246",3,2 1/2,3 bd | 2.5 ba,"2,010",$225,0,No,Yes,None,Average,11,0,11,2,5/12/2014,2.50,"2,010","2,287",0,0,3,"1,390",620,2014,2500 Mulberry Walk NE,Issaquah,WA 98029
7707 Sw 259Th St,Vashon,WA,98070,"$453,000",4,2 3/4,4 bd | 2.75 ba,"2,300",$197,1,No,Yes,Great,Excellent,46,0,46,1,6/27/2014,2.75,"2,300","37,533",0,3,5,"1,550",750,1979,7707 SW 259th St,Vashon,WA 98070
15619 Se 9Th St,Bellevue,WA,98008,"$453,000",4,1 3/4,4 bd | 1.75 ba,"2,120",$214,0,No,Yes,None,Good,69,0,69,1,6/23/2014,1.75,"2,120","7,420",0,0,4,"1,060","1,060",1956,15619 SE 9th St,Bellevue,WA 98008
13417 110Th Pl Ne,Kirkland,WA,98034,"$453,000",3,2  ,3 bd | 2. ba,"1,660",$273,0,No,Yes,None,Average,42,2009,16,1,7/2/2014,2.00,"1,660","15,050",0,0,3,"1,260",400,1983,13417 110th Pl NE,Kirkland,WA 98034
510 175Th Pl Ne,Bellevue,WA,98008,"$452,500",5,3 1/2,5 bd | 3.5 ba,"5,960",$76,0,No,Yes,Good,Average,41,0,41,2,5/29/2014,3.50,"5,960","13,703",0,2,3,"4,770","1,190",1984,510 175th Pl NE,Bellevue,WA 98008
19311 59Th Pl Ne,Kenmore,WA,98028,"$452,000",4,2 1/4,4 bd | 2.25 ba,"2,590",$175,0,No,Yes,None,Good,57,0,57,1,5/29/2014,2.25,"2,590","10,002",0,0,4,"1,340","1,250",1968,19311 59th Pl NE,Kenmore,WA 98028
5321-5327 156Th Dr Ne,Redmond,WA,98052,"$452,000",3,1 3/4,3 bd | 1.75 ba,"1,110",$407,0,No,No,None,Good,59,0,59,1,7/1/2014,1.75,"1,110","9,012",0,0,4,"1,110",0,1966,5321-5327 156th Dr NE,Redmond,WA 98052
9411 44Th Pl Ne,Seattle,WA,98115,"$452,000",2,1 3/4,2 bd | 1.75 ba,"1,740",$260,0,No,Yes,None,Good,79,1989,36,1,6/6/2014,1.75,"1,740","5,400",0,0,4,990,750,1946,9411 44th Pl NE,Seattle,WA 98115
1106 N 80Th St,Seattle,WA,98103,"$452,000",4,1  ,4 bd | 1. ba,"1,210",$374,0,No,No,None,Average,125,2005,20,1.5,5/20/2014,1.00,"1,210","3,760",0,0,3,"1,210",0,1900,1106 N 80th St,Seattle,WA 98103
7308 28Th Ave Sw,Seattle,WA,98126,"$452,000",4,2  ,4 bd | 2. ba,"1,660",$272,0,No,Yes,None,Average,80,2010,15,1,5/21/2014,2.00,"1,660","6,150",0,0,3,850,810,1945,7308 28th Ave SW,Seattle,WA 98126
4137 48Th Ave Sw,Seattle,WA,98116,"$451,555",2,1  ,2 bd | 1. ba,"1,320",$342,0,No,No,Fair,Average,113,1971,54,1,5/15/2014,1.00,"1,320","4,520",0,1,3,"1,320",0,1912,4137 48th Ave SW,Seattle,WA 98116
4042 34Th Ave Sw,Seattle,WA,98126,"$451,000",3,1 3/4,3 bd | 1.75 ba,"1,560",$289,0,No,Yes,Good,Average,99,2003,22,1.5,5/16/2014,1.75,"1,560","4,049",0,2,3,"1,000",560,1926,4042 34th Ave SW,Seattle,WA 98126
2319 Ne Marion Ln,Issaquah,WA,98029,"$451,000",4,2 1/2,4 bd | 2.5 ba,"1,670",$270,0,No,No,None,Average,20,0,20,2,6/17/2014,2.50,"1,670","3,315",0,0,3,"1,670",0,2005,2319 NE Marion Ln,Issaquah,WA 98029
12112 Ne 143Rd Pl,Kirkland,WA,98034,"$451,000",5,2 3/4,5 bd | 2.75 ba,"2,830",$159,0,No,No,None,Average,58,2011,14,1.5,6/26/2014,2.75,"2,830","8,925",0,0,3,"2,830",0,1967,12112 NE 143rd Pl,Kirkland,WA 98034
3617 Ne 12Th St,Renton,WA,98056,"$450,800",4,3 1/4,4 bd | 3.25 ba,"2,510",$180,0,No,No,None,Average,16,0,16,2,5/27/2014,3.25,"2,510","5,311",0,0,3,"2,510",0,2009,3617 NE 12th St,Renton,WA 98056
7250 Rainier Ave S,Seattle,WA,98118,"$450,386",3,2  ,3 bd | 2. ba,"1,300",$346,0,No,Yes,None,Average,32,0,32,1,5/28/2014,2.00,"1,300","3,731",0,0,3,900,400,1993,7250 Rainier Ave S,Seattle,WA 98118
9853 Arrowsmith Ave S,Seattle,WA,98118,"$450,000",4,2 3/4,4 bd | 2.75 ba,"2,310",$195,0,No,Yes,Good,Average,73,2012,13,1,6/25/2014,2.75,"2,310","5,650",0,2,3,"1,330",980,1952,9853 Arrowsmith Ave S,Seattle,WA 98118
17081-17183 Se Wax Rd,Covington,WA,98042,"$450,000",3,2 1/4,3 bd | 2.25 ba,"2,450",$184,1,No,No,None,Good,47,2000,25,1,5/13/2014,2.25,"2,450","42,180",0,0,4,"2,450",0,1978,17081-17183 SE Wax Rd,Covington,WA 98042
28312 Ne 138Th Pl,Duvall,WA,98019,"$450,000",4,2 1/2,4 bd | 2.5 ba,"2,520",$179,0,No,No,None,Average,26,0,26,2,5/27/2014,2.50,"2,520","8,515",0,0,3,"2,520",0,1999,28312 NE 138th Pl,Duvall,WA 98019
36023 3Rd Ave S,Federal Way,WA,98003,"$450,000",3,2 1/2,3 bd | 2.5 ba,"2,910",$155,0,No,No,None,Average,36,0,36,2,5/14/2014,2.50,"2,910","17,172",0,0,3,"2,910",0,1989,36023 3rd Ave S,Federal Way,WA 98003
2336 Ne Park Dr,Issaquah,WA,98029,"$450,000",3,2 1/2,3 bd | 2.5 ba,"1,480",$304,0,No,No,None,Average,20,0,20,2,6/6/2014,2.50,"1,480","1,961",0,0,3,"1,480",0,2005,2336 NE Park Dr,Issaquah,WA 98029
14543 86Th Pl Ne,Kenmore,WA,98028,"$450,000",3,2 1/2,3 bd | 2.5 ba,"1,990",$226,0,No,No,None,Average,32,0,32,2,7/7/2014,2.50,"1,990","12,793",0,0,3,"1,990",0,1993,14543 86th Pl NE,Kenmore,WA 98028
6217 Ne 156Th St,Kenmore,WA,98028,"$450,000",3,1 3/4,3 bd | 1.75 ba,"1,400",$321,0,No,No,None,Average,62,2008,17,1,7/1/2014,1.75,"1,400","13,775",0,0,3,"1,400",0,1963,6217 NE 156th St,Kenmore,WA 98028
12234 Ne 65Th St,Kirkland,WA,98033,"$450,000",3,1 3/4,3 bd | 1.75 ba,"1,610",$280,0,No,No,None,Average,70,2005,20,1,6/19/2014,1.75,"1,610","11,200",0,0,3,"1,610",0,1955,12234 NE 65th St,Kirkland,WA 98033
16359 35Th Ave Ne,Lake Forest Park,WA,98155,"$450,000",3,1 1/2,3 bd | 1.5 ba,"2,330",$193,0,No,Yes,None,Average,71,2005,20,1,6/25/2014,1.50,"2,330","11,740",0,0,3,"1,330","1,000",1954,16359 35th Ave NE,Lake Forest Park,WA 98155
3210 Ne 163Rd St,Lake Forest Park,WA,98155,"$450,000",3,1 1/2,3 bd | 1.5 ba,"1,530",$294,1,No,No,None,Average,73,2008,17,1,6/26/2014,1.50,"1,530","23,660",0,0,3,"1,530",0,1952,3210 NE 163rd St,Lake Forest Park,WA 98155
13406 423Rd Ave Se,North Bend,WA,98045,"$450,000",4,2 1/2,4 bd | 2.5 ba,"2,300",$196,0,No,No,None,Good,70,2009,16,1,6/11/2014,2.50,"2,300","19,250",0,0,4,"2,300",0,1955,13406 423rd Ave SE,North Bend,WA 98045
6201 147Th Ct Ne,Redmond,WA,98052,"$450,000",3,1 3/4,3 bd | 1.75 ba,"1,480",$304,0,No,No,None,Good,54,0,54,1,7/7/2014,1.75,"1,480","8,394",0,0,4,"1,480",0,1971,6201 147th Ct NE,Redmond,WA 98052
378 Nile Pl Ne,Renton,WA,98059,"$450,000",4,2 1/2,4 bd | 2.5 ba,"2,400",$188,0,No,No,None,Average,22,0,22,2,6/19/2014,2.50,"2,400","7,693",0,0,3,"2,400",0,2003,378 Nile Pl NE,Renton,WA 98059
23211 190Th Ave Se,Renton,WA,98058,"$450,000",5,2 1/2,5 bd | 2.5 ba,"2,850",$158,5,No,Yes,None,Good,100,1968,57,1,7/9/2014,2.50,"2,850","209,523",0,0,4,"1,930",920,1925,23211 190th Ave SE,Renton,WA 98058
7341 27Th Ave Nw,Seattle,WA,98117,"$450,000",3,1 3/4,3 bd | 1.75 ba,"1,180",$381,0,No,Yes,None,Good,97,0,97,1,6/18/2014,1.75,"1,180","4,080",0,0,4,760,420,1928,7341 27th Ave NW,Seattle,WA 98117
2301 California Ave Sw,Seattle,WA,98116,"$450,000",3,2 3/4,3 bd | 2.75 ba,"1,250",$360,0,No,Yes,None,Average,15,0,15,2,5/13/2014,2.75,"1,250",892,0,0,3,"1,040",210,2010,2301 California Ave SW,Seattle,WA 98116
9024 5Th Ave Ne,Seattle,WA,98115,"$450,000",2,1  ,2 bd | 1. ba,"1,380",$326,0,No,Yes,None,Good,94,0,94,1,6/25/2014,1.00,"1,380","4,390",0,0,4,880,500,1931,9024 5th Ave NE,Seattle,WA 98115
2503 Sw Portland Ct,Seattle,WA,98106,"$450,000",4,2  ,4 bd | 2. ba,"2,240",$201,0,No,Yes,None,Excellent,69,0,69,1,5/29/2014,2.00,"2,240","7,725",0,0,5,"1,120","1,120",1956,2503 SW Portland Ct,Seattle,WA 98106
12722 15Th Ave Ne,Seattle,WA,98125,"$450,000",6,2 1/4,6 bd | 2.25 ba,"3,550",$127,0,No,Yes,None,Good,77,0,77,1,6/16/2014,2.25,"3,550","11,780",0,0,4,"2,960",590,1948,12722 15th Ave NE,Seattle,WA 98125
8309 24Th Ave Nw,Seattle,WA,98117,"$450,000",4,1 3/4,4 bd | 1.75 ba,"2,160",$208,0,No,Yes,None,Good,83,1982,43,1,6/23/2014,1.75,"2,160","4,333",0,0,4,"1,260",900,1942,8309 24th Ave NW,Seattle,WA 98117
5421-5499 52Nd Terrace S,Seattle,WA,98118,"$450,000",4,1  ,4 bd | 1. ba,"2,000",$225,0,No,Yes,None,Average,109,1986,39,1.5,6/5/2014,1.00,"2,000","4,676",0,0,3,"1,250",750,1916,5421-5499 52nd Terrace S,Seattle,WA 98118
5516 2Nd Ave Nw,Seattle,WA,98107,"$450,000",2,1 3/4,2 bd | 1.75 ba,840,$536,0,No,Yes,None,Average,113,1994,31,1,6/26/2014,1.75,840,"3,340",0,0,3,700,140,1912,5516 2nd Ave NW,Seattle,WA 98107
3026 37Th Ave Sw,Seattle,WA,98126,"$450,000",2,1  ,2 bd | 1. ba,"1,200",$375,0,No,Yes,None,Average,85,1996,29,1,5/21/2014,1.00,"1,200","4,000",0,0,3,"1,070",130,1940,3026 37th Ave SW,Seattle,WA 98126
12016 23Rd Ave Ne,Seattle,WA,98125,"$450,000",3,1 3/4,3 bd | 1.75 ba,"1,640",$274,0,No,Yes,None,Average,85,1996,29,1,6/9/2014,1.75,"1,640","13,500",0,0,3,"1,110",530,1940,12016 23rd Ave NE,Seattle,WA 98125
3920 42Nd Ave Sw,Seattle,WA,98116,"$450,000",3,1  ,3 bd | 1. ba,"1,100",$409,0,No,No,None,Average,108,2009,16,1,5/28/2014,1.00,"1,100","4,600",0,0,3,"1,100",0,1917,3920 42nd Ave SW,Seattle,WA 98116
8012 Wallingford Ave N,Seattle,WA,98103,"$450,000",3,2  ,3 bd | 2. ba,"1,430",$315,0,No,Yes,None,Average,78,2012,13,1,6/20/2014,2.00,"1,430","3,480",0,0,3,980,450,1947,8012 Wallingford Ave N,Seattle,WA 98103
21533 Ne Woodinville Duvall Rd,Woodinville,WA,98077,"$450,000",3,1 1/2,3 bd | 1.5 ba,"2,060",$218,1,No,No,None,Average,72,0,72,1,5/20/2014,1.50,"2,060","44,866",0,0,3,"2,060",0,1953,21533 NE Woodinville Duvall Rd,Woodinville,WA 98077
13800 453Rd Ave Se,North Bend,WA,98045,"$449,990",4,2 1/2,4 bd | 2.5 ba,"2,680",$168,0,No,No,None,Average,12,1923,102,2,7/8/2014,2.50,"2,680","5,539",0,0,3,"2,680",0,2013,13800 453rd Ave SE,North Bend,WA 98045
7546 Ne 204Th Pl,Kenmore,WA,98028,"$449,950",3,2 1/2,3 bd | 2.5 ba,"2,170",$207,0,No,No,None,Average,22,0,22,2,6/5/2014,2.50,"2,170","4,912",0,0,3,"2,170",0,2003,7546 NE 204th Pl,Kenmore,WA 98028
828 Ne 83Rd St,Seattle,WA,98115,"$449,950",3,2  ,3 bd | 2. ba,"1,560",$288,0,No,No,None,Average,102,1982,43,2,5/23/2014,2.00,"1,560","4,080",0,0,3,"1,560",0,1923,828 NE 83rd St,Seattle,WA 98115
7206 Douglas Ave Se,Snoqualmie,WA,98065,"$449,950",4,2 1/2,4 bd | 2.5 ba,"2,470",$182,0,No,No,None,Average,26,0,26,2,6/17/2014,2.50,"2,470","3,811",0,0,3,"2,470",0,1999,7206 Douglas Ave SE,Snoqualmie,WA 98065
9413 Ne 137Th St,Kirkland,WA,98034,"$449,500",3,2 1/4,3 bd | 2.25 ba,"1,780",$253,0,No,Yes,Good,Average,53,2002,23,1,6/23/2014,2.25,"1,780","7,280",0,2,3,"1,340",440,1972,9413 NE 137th St,Kirkland,WA 98034
12610 Ne 142Nd St,Kirkland,WA,98034,"$449,500",5,2 3/4,5 bd | 2.75 ba,"2,040",$220,0,No,Yes,None,Good,56,0,56,1,6/3/2014,2.75,"2,040","7,488",0,0,4,"1,200",840,1969,12610 NE 142nd St,Kirkland,WA 98034
19293 Stone Ave N,Shoreline,WA,98133,"$449,500",3,2  ,3 bd | 2. ba,"1,770",$254,0,No,Yes,None,Good,71,1979,46,1,5/13/2014,2.00,"1,770","6,610",0,0,4,960,810,1954,19293 Stone Ave N,Shoreline,WA 98133
22614 Se 270Th Pl,Maple Valley,WA,98038,"$449,000",4,2 1/2,4 bd | 2.5 ba,"2,960",$152,0,No,No,None,Average,20,0,20,2,6/30/2014,2.50,"2,960","6,031",0,0,3,"2,960",0,2005,22614 SE 270th Pl,Maple Valley,WA 98038
7117 31St Ave Sw,Seattle,WA,98126,"$449,000",4,2 1/2,4 bd | 2.5 ba,"1,850",$243,0,No,Yes,None,Average,95,2013,12,1,6/23/2014,2.50,"1,850","5,040",0,0,3,"1,230",620,1930,7117 31st Ave SW,Seattle,WA 98126
27498 254Th Pl Se,Maple Valley,WA,98038,"$448,000",4,2 1/2,4 bd | 2.5 ba,"2,510",$178,0,No,No,Good,Average,19,0,19,2,6/20/2014,2.50,"2,510","6,853",0,2,3,"2,510",0,2006,27498 254th Pl SE,Maple Valley,WA 98038
3441 Nw 59Th St,Seattle,WA,98107,"$448,000",2,1 1/2,2 bd | 1.5 ba,"1,630",$275,0,No,Yes,None,Good,85,2001,24,1,6/12/2014,1.50,"1,630","3,780",0,0,4,890,740,1940,3441 NW 59th St,Seattle,WA 98107
10356 Dibble Ave Nw,Seattle,WA,98177,"$447,000",2,1  ,2 bd | 1. ba,"1,320",$339,0,No,No,None,Average,72,0,72,1,6/27/2014,1.00,"1,320","8,380",0,0,3,"1,320",0,1953,10356 Dibble Ave NW,Seattle,WA 98177
20402 63Rd Ave Ne,Kenmore,WA,98028,"$446,000",5,2 3/4,5 bd | 2.75 ba,"2,190",$204,0,No,Yes,None,Excellent,47,0,47,1,5/19/2014,2.75,"2,190","12,687",0,0,5,"1,370",820,1978,20402 63rd Ave NE,Kenmore,WA 98028
11123 Ne 141St Pl,Kirkland,WA,98034,"$446,000",4,2 1/4,4 bd | 2.25 ba,"2,270",$196,0,No,Yes,None,Average,48,2004,21,1,5/16/2014,2.25,"2,270","7,800",0,0,3,"1,290",980,1977,11123 NE 141st Pl,Kirkland,WA 98034
207 20Th Ave,Seattle,WA,98122,"$446,000",2,1 1/2,2 bd | 1.5 ba,"1,370",$326,0,No,Yes,None,Average,17,0,17,2,6/26/2014,1.50,"1,370","1,221",0,0,3,"1,080",290,2008,207 20th Ave,Seattle,WA 98122
10010 37Th Ave Sw,Seattle,WA,98146,"$445,838",3,2 1/2,3 bd | 2.5 ba,"2,250",$198,0,No,No,None,Average,25,0,25,2,7/3/2014,2.50,"2,250","5,692",0,0,3,"2,250",0,2000,10010 37th Ave SW,Seattle,WA 98146
20143 47Th Ave Ne,Lake Forest Park,WA,98155,"$445,800",4,2 1/4,4 bd | 2.25 ba,"2,070",$215,1,No,Yes,None,Average,48,2004,21,1,6/30/2014,2.25,"2,070","39,446",0,0,3,"1,470",600,1977,20143 47th Ave NE,Lake Forest Park,WA 98155
21236 Tramp Harbor Rd Sw,Vashon,WA,98070,"$445,000",3,1 3/4,3 bd | 1.75 ba,"1,890",$235,1,No,No,Great,Average,49,0,49,1.5,6/16/2014,1.75,"1,890","32,340",0,3,3,"1,890",0,1976,21236 Tramp Harbor Rd SW,Vashon,WA 98070
16720 Ne 23Rd Pl,Bellevue,WA,98008,"$445,000",4,2  ,4 bd | 2. ba,"1,470",$303,0,No,No,None,Good,60,0,60,1,6/6/2014,2.00,"1,470","8,395",0,0,4,"1,470",0,1965,16720 NE 23rd Pl,Bellevue,WA 98008
18819 71St Ave Ne,Kenmore,WA,98028,"$445,000",3,3  ,3 bd | 3. ba,"1,970",$226,1,No,No,None,Average,15,0,15,1,5/16/2014,3.00,"1,970","24,318",0,0,3,"1,970",0,2010,18819 71st Ave NE,Kenmore,WA 98028
19901-19999 Se 290Th Pl,Kent,WA,98042,"$445,000",4,2 1/2,4 bd | 2.5 ba,"2,280",$195,1,No,No,None,Average,31,0,31,2,7/1/2014,2.50,"2,280","42,077",0,0,3,"2,280",0,1994,19901-19999 SE 290th Pl,Kent,WA 98042
1905 Ne 29Th Ct,Renton,WA,98056,"$445,000",3,2  ,3 bd | 2. ba,"1,630",$273,0,No,No,None,Average,38,2000,25,1,5/23/2014,2.00,"1,630","8,702",0,0,3,"1,630",0,1987,1905 NE 29th Ct,Renton,WA 98056
2847 Nw 70Th St,Seattle,WA,98117,"$445,000",2,2  ,2 bd | 2. ba,"1,240",$359,0,No,No,None,Average,40,0,40,2,7/7/2014,2.00,"1,240","2,500",0,0,3,"1,240",0,1985,2847 NW 70th St,Seattle,WA 98117
1608 N 50Th St,Seattle,WA,98103,"$445,000",2,1  ,2 bd | 1. ba,"1,440",$309,0,No,Yes,None,Average,110,0,110,1,6/8/2014,1.00,"1,440","3,225",0,0,3,960,480,1915,1608 N 50th St,Seattle,WA 98103
