Address,City,State,Zip,Price,Bedrooms,Bathrooms,Living Area (SqFt),Price per SqFt,Lot Size (Acres),Waterfront,Basement,View,Condition,Home Age,Year Renovated,Years Since Update,Floors,,
7815 116Th Ave Se,Newcastle,WA,98056,"$415,000",4.00,2,"1,610",$258 ,0,No,No,None,Excellent,58,0,58,1,,
7209 Se 70Th St,Newcastle,WA,98056,"$415,000",4.00,2,"1,920",$216 ,0,No,No,None,Good,55,0,55,2,,
13283 228Th Pl Ne,Redmond,WA,98053,"$415,000",2.00,2,"1,340",$310 ,0,No,No,None,Average,21,2003,22,1,,
10908 156Th Ct Ne,Redmond,WA,98052,"$415,000",3.00,2,"1,070",$388 ,0,No,No,None,Average,48,2004,21,1,,
681 Ilwaco Ave Ne,Renton,WA,98059,"$415,000",4.00,3,"2,020",$205 ,0,No,No,None,Average,15,0,15,2,,
3307 Ne 7Th St,Renton,WA,98056,"$415,000",3.00,3,"2,090",$199 ,0,No,No,None,Average,25,0,25,2,,
17051 151St Ave Se,Renton,WA,98058,"$415,000",3.00,2,"2,410",$172 ,0,No,Yes,None,Good,58,0,58,1,,
18303 155Th Pl Se,Renton,WA,98058,"$415,000",3.00,3,"2,480",$167 ,0,No,No,None,Average,39,0,39,2,,
564 Field Pl Ne,Renton,WA,98059,"$415,000",4.00,3,"2,550",$163 ,0,No,No,None,Average,16,0,16,2,,
2922 Nw 85Th St,Seattle,WA,98117,"$415,000",3.00,3,"1,060",$392 ,0,No,No,None,Average,25,0,25,2,,
7502 15Th Ave Ne,Seattle,WA,98115,"$415,000",4.00,2,"1,800",$231 ,0,No,Yes,None,Good,102,0,102,1,,
4351 Jill Pl S,Seattle,WA,98108,"$415,000",3.00,2,"1,970",$211 ,0,No,Yes,None,Average,17,0,17,2,,
4958 12Th Ave S,Seattle,WA,98108,"$415,000",3.00,2,"1,960",$212 ,0,No,Yes,None,Excellent,114,1984,41,1,,
3510 Ne 115Th St,Seattle,WA,98125,"$415,000",3.00,1,"1,170",$355 ,0,No,No,None,Average,68,2000,25,1,,
7340 35Th Ave Sw,Seattle,WA,98126,"$415,000",3.00,2,"1,270",$327 ,0,No,No,None,Average,73,2014,11,1,,
720 N 193Rd Pl,Shoreline,WA,98133,"$415,000",4.00,3,"2,000",$208 ,0,No,No,None,Average,26,0,26,2,,
18820 1St Ave Nw,Shoreline,WA,98177,"$415,000",4.00,2,"1,840",$226 ,0,No,No,None,Good,75,1983,42,1.5,,
1531 Ne 172Nd St,Shoreline,WA,98155,"$415,000",3.00,2,"1,950",$213 ,0,No,Yes,None,Average,61,2000,25,1,,
69506 Ne Money Creek Rd,Skykomish,WA,98288,"$415,000",3.00,3,"2,600",$160 ,1,No,No,None,Average,16,0,16,1.5,,
15505 180 Ave Ne,Woodinville,WA,98072,"$415,000",3.00,2,"1,910",$217 ,0,No,Yes,None,Average,48,2004,21,1,,
4724 Ne 14Th St,Renton,WA,98059,"$414,000",3.00,3,"2,490",$166 ,0,No,No,None,Average,13,1912,113,2.5,,
23571-23613 Ne Twinberry Way,Redmond,WA,98053,"$413,800",3.00,2,"1,440",$287 ,0,No,No,None,Average,18,0,18,1,,
615 Nw 92Nd St,Seattle,WA,98117,"$413,500",2.00,1,770,$537 ,0,No,No,None,Excellent,101,1956,69,1,,
4118 32Nd Ave Sw,Seattle,WA,98126,"$413,000",4.00,1,"1,410",$293 ,0,No,Yes,None,Average,100,2002,23,1,,
5419 156Th Ave Ne,Redmond,WA,98052,"$412,500",3.00,2,"1,490",$277 ,0,No,No,None,Good,62,0,62,1,,
32648-33020 10Th Ave Sw,Federal Way,WA,98023,"$412,000",4.00,4,"3,360",$123 ,0,No,Yes,None,Average,35,2009,16,2,,
32119 199Th Ave Se,Kent,WA,98042,"$412,000",3.00,2,"1,950",$211 ,1,No,No,None,Good,40,0,40,1,,
8329 27Th Ave Nw,Seattle,WA,98117,"$412,000",2.00,1,"1,260",$327 ,0,No,Yes,None,Average,100,2002,23,1,,
4902 12Th Ave S,Seattle,WA,98108,"$411,715",3.00,2,"1,840",$224 ,0,No,Yes,None,Excellent,73,1998,27,1,,
2723 55Th St Se,Auburn,WA,98092,"$411,605",4.00,3,"2,658",$155 ,0,No,No,None,Average,11,0,11,2,,
35516 44Th Ave S,Auburn,WA,98001,"$411,000",4.00,2,"2,370",$173 ,2,No,No,None,Good,47,2000,25,2,,
7302 127Th Pl Se,Newcastle,WA,98056,"$411,000",4.00,3,"2,150",$191 ,0,No,Yes,None,Excellent,49,0,49,1,,
8309 36Th Ave S,Seattle,WA,98118,"$411,000",4.00,3,"2,500",$164 ,0,No,No,None,Average,59,1963,62,2,,
17449 Sylvester Rd Sw,Burien,WA,98166,"$410,000",3.00,1,"2,710",$151 ,0,No,No,Great,Good,75,1983,42,2,,
14429 22Nd Ave Sw,Burien,WA,98166,"$410,000",3.00,1,"1,470",$279 ,0,No,No,None,Good,72,1983,42,1,,
13666 17Th Ave Sw,Burien,WA,98166,"$410,000",4.00,2,"1,970",$208 ,0,No,Yes,None,Average,64,2004,21,1,,
560 Sw Fernwood St,Issaquah,WA,98027,"$410,000",4.00,2,"1,790",$229 ,0,No,Yes,None,Good,56,0,56,1,,
10221 132Nd Ave Ne,Kirkland,WA,98033,"$410,000",4.00,2,"1,580",$259 ,0,No,No,None,Average,72,0,72,1,,
14214 81St Ave Ne,Kirkland,WA,98034,"$410,000",4.00,3,"1,700",$241 ,0,No,No,None,Excellent,53,0,53,1,,
12721 83Rd Ct Ne,Kirkland,WA,98034,"$410,000",3.00,2,"1,650",$248 ,0,No,No,None,Average,42,2009,16,1.5,,
3306 Ne 185Th St,Lake Forest Park,WA,98155,"$410,000",6.00,3,"2,520",$163 ,0,No,Yes,None,Good,63,0,63,1,,
27645 236Th Ct Se,Maple Valley,WA,98038,"$410,000",4.00,3,"2,560",$160 ,0,No,No,None,Average,19,0,19,2,,
21709 Se 255Th Pl,Maple Valley,WA,98038,"$410,000",3.00,2,"2,200",$186 ,0,No,No,None,Average,38,2000,25,2,,
7202 121St Pl Se,Newcastle,WA,98056,"$410,000",3.00,2,"1,250",$328 ,0,No,No,None,Excellent,57,0,57,1,,
1107 216Th Ave Ne,Sammamish,WA,98074,"$410,000",3.00,2,"1,450",$283 ,0,No,No,None,Average,36,0,36,2,,
2200 S Hanford St,Seattle,WA,98144,"$410,000",3.00,2,"1,320",$311 ,0,No,No,None,Good,105,0,105,1.5,,
10711 Ashworth Ave N,Seattle,WA,98133,"$410,000",3.00,1,"1,410",$291 ,0,No,Yes,None,Good,69,0,69,1,,
1919 42Nd Ave Sw,Seattle,WA,98116,"$410,000",3.00,2,"1,660",$247 ,0,No,Yes,None,Average,45,0,45,1,,
2204 W Emerson St,Seattle,WA,98199,"$410,000",3.00,2,"1,700",$241 ,0,No,Yes,None,Average,81,0,81,1,,
4611 Sw Maple Way,Seattle,WA,98136,"$410,000",1.00,2,"1,010",$406 ,0,No,No,None,Average,114,1948,77,1,,
15568 11Th Ave Ne,Shoreline,WA,98155,"$410,000",4.00,2,"2,060",$199 ,0,No,Yes,None,Average,62,2013,12,1,,
33823 Se Odell St,Snoqualmie,WA,98065,"$410,000",3.00,3,"1,960",$209 ,0,No,No,None,Average,19,0,19,2,,
26907 94Th Ave Sw,Vashon,WA,98070,"$410,000",3.00,2,"1,400",$293 ,1,No,No,None,Good,44,0,44,2,,
929 N 88Th St,Seattle,WA,98103,"$409,950",2.00,2,"1,370",$299 ,0,No,No,None,Excellent,81,0,81,1,,
7416 Better Way Loop Se,Snoqualmie,WA,98065,"$409,316",3.00,3,"1,800",$227 ,0,No,No,None,Average,11,0,11,2,,
14014 Se 236Th Pl,Kent,WA,98042,"$409,124",5.00,3,"3,320",$123 ,0,No,Yes,None,Good,26,0,26,2,,
12542 Ne 160Th Pl,Woodinville,WA,98072,"$408,900",3.00,2,"2,930",$140 ,0,No,Yes,None,Average,32,0,32,1,,
8124 24Th Ave Sw,Seattle,WA,98106,"$408,200",3.00,3,"1,800",$227 ,0,No,No,None,Good,35,0,35,2,,
3742 S 192Nd St,Seatac,WA,98188,"$408,000",3.00,2,"1,950",$209 ,0,No,No,None,Good,19,0,19,1,,
7403 48Th Ave S,Seattle,WA,98118,"$408,000",5.00,3,"2,820",$145 ,0,No,Yes,None,Average,119,2014,11,1.5,,
31229 Ne 111Th St,Carnation,WA,98014,"$407,193",4.00,2,"1,880",$217 ,0,No,No,None,Average,47,0,47,2,,
4437 49Th Ave Sw,Seattle,WA,98116,"$406,500",2.00,1,870,$467 ,0,No,No,None,Good,78,1988,37,1,,
312 Ne 81St St,Seattle,WA,98115,"$406,063",2.00,1,"1,290",$315 ,0,No,No,None,Good,119,1990,35,1,,
10041 64Th Ave S,Seattle,WA,98178,"$406,000",4.00,1,"1,580",$257 ,0,No,No,Good,Good,97,0,97,1.5,,
9126 45Th Ave Sw,Seattle,WA,98136,"$405,500",2.00,3,"1,350",$300 ,0,No,Yes,None,Average,19,0,19,2,,
14323-14347 155Th Ave Ne,Woodinville,WA,98072,"$405,125",4.00,3,"4,230",$96 ,1,No,No,None,Good,40,0,40,2,,
2901 W Elmore St,Seattle,WA,98199,"$405,100",2.00,1,840,$482 ,0,No,No,None,Average,78,2012,13,1,,
1018 S 226Th St,Des Moines,WA,98198,"$405,000",3.00,2,"2,470",$164 ,0,No,Yes,Fair,Good,63,0,63,1,,
29414 2Nd Ave Sw,Federal Way,WA,98023,"$405,000",3.00,3,"3,170",$128 ,0,No,Yes,None,Average,30,0,30,2,,
10414 Ne 131St St,Kirkland,WA,98034,"$405,000",5.00,2,"1,880",$215 ,0,No,Yes,None,Average,62,2008,17,1,,
5471 Ne 200Th Pl,Lake Forest Park,WA,98155,"$405,000",3.00,2,"1,880",$215 ,0,No,Yes,None,Average,57,1997,28,1,,
16722 32Nd Pl Ne,Lake Forest Park,WA,98155,"$405,000",4.00,2,"2,180",$186 ,0,No,Yes,None,Average,69,2001,24,1,,
6019 210Th Ave Ne,Redmond,WA,98053,"$405,000",3.00,2,"1,240",$327 ,0,No,No,None,Average,37,2000,25,1,,
4839 Ne 5Th St,Renton,WA,98059,"$405,000",4.00,3,"2,220",$182 ,0,No,No,None,Average,24,0,24,2,,
16819 Se 171St Pl,Renton,WA,98058,"$405,000",5.00,3,"2,430",$167 ,0,No,No,None,Average,24,0,24,2,,
3009 229Th Pl Ne,Sammamish,WA,98074,"$405,000",3.00,1,"1,330",$305 ,0,No,Yes,None,Average,41,0,41,1,,
1321 208Th Ave Ne,Sammamish,WA,98074,"$405,000",3.00,1,"1,460",$277 ,0,No,No,None,Average,23,0,23,1.5,,
6301-6399 17Th Ave Nw,Seattle,WA,98107,"$405,000",2.00,1,860,$471 ,0,No,No,None,Good,124,0,124,1,,
12500-12578 10Th Ave Ne,Seattle,WA,98125,"$405,000",3.00,2,"1,010",$401 ,0,No,No,None,Excellent,72,0,72,1.5,,
1111 29Th Ave,Seattle,WA,98122,"$405,000",2.00,2,"1,405",$288 ,0,No,Yes,None,Average,18,0,18,2,,
4131 Sw Kenyon St,Seattle,WA,98136,"$405,000",2.00,2,"1,710",$237 ,0,No,Yes,None,Average,105,1979,46,2,,
9532 Phinney Ave N,Seattle,WA,98103,"$405,000",2.00,1,"1,260",$321 ,0,No,No,None,Good,78,1988,37,1,,
12711 37Th Ave Ne,Seattle,WA,98125,"$405,000",3.00,2,"1,640",$247 ,0,No,No,None,Average,77,1994,31,1,,
8221 21St Ave Ne,Seattle,WA,98115,"$405,000",2.00,1,910,$445 ,0,No,No,None,Average,83,1999,26,1,,
8502 Interlake Ave N,Seattle,WA,98103,"$405,000",3.00,2,"1,520",$266 ,0,No,No,None,Average,21,2003,22,3,,
2317 N 147Th St,Shoreline,WA,98133,"$405,000",3.00,2,"1,980",$205 ,0,No,Yes,None,Good,76,1985,40,1,,
19415 Se 342Nd St,Auburn,WA,98092,"$404,950",4.00,2,"2,340",$173 ,5,No,No,None,Good,43,2011,14,1,,
4915 17Th Ave S,Seattle,WA,98108,"$404,000",3.00,2,"2,030",$199 ,0,No,Yes,None,Average,62,2008,17,1,,
2360 Fairview Ave E,Seattle,WA,98102,"$403,950",2.00,1,710,$569 ,0,No,No,None,Good,82,0,82,2,,
427 Sw 174Th St,Normandy Park,WA,98166,"$403,500",5.00,3,"3,600",$112 ,0,No,Yes,None,Good,57,0,57,1,,
13337 30Th Ave Ne,Seattle,WA,98125,"$403,500",3.00,1,"1,830",$220 ,0,No,Yes,None,Average,65,2012,13,1,,
3242 15Th Ave S,Seattle,WA,98144,"$403,000",2.00,1,"1,100",$366 ,0,No,No,None,Good,99,1993,32,1,,
14806 279Th Ln Ne,Duvall,WA,98019,"$402,500",3.00,3,"2,780",$145 ,0,No,No,None,Average,16,0,16,2,,
4235 4Th Ave Nw,Seattle,WA,98107,"$402,500",2.00,1,800,$503 ,0,No,No,None,Excellent,79,0,79,1,,
22728 10Th Ave S,Des Moines,WA,98198,"$402,000",3.00,3,"2,700",$149 ,0,No,Yes,Great,Good,66,0,66,1,,
2460 Ne Park Dr,Issaquah,WA,98029,"$402,000",3.00,2,"1,540",$261 ,0,No,No,None,Average,20,0,20,2,,
24204-24298 142Nd Ave Se,Kent,WA,98042,"$402,000",4.00,3,"2,950",$136 ,0,No,Yes,None,Good,51,0,51,1,,
13420 121St Ave Ne,Kirkland,WA,98034,"$402,000",3.00,2,"1,450",$277 ,0,No,Yes,None,Average,57,1997,28,1,,
2348 Fairview Ave E,Seattle,WA,98102,"$402,000",2.00,1,710,$566 ,0,No,No,None,Good,82,0,82,2,,
6530 21St Ave Nw,Seattle,WA,98117,"$402,000",4.00,2,"2,000",$201 ,0,No,Yes,None,Excellent,99,0,99,2,,
5001-5099 11Th Ave Nw,Seattle,WA,98107,"$402,000",2.00,1,620,$648 ,0,No,No,None,Excellent,114,1984,41,1,,
3027 230Th Pl Ne,Sammamish,WA,98074,"$401,000",3.00,2,"1,240",$323 ,0,No,Yes,None,Average,41,0,41,1,,
38107 212Th Ave Se,Auburn,WA,98092,"$400,000",4.00,2,"2,670",$150 ,4,No,No,Excellent,Average,53,2002,23,2,,
27200-27218 52Nd Ave S,Kent,WA,98032,"$400,000",3.00,3,"2,740",$146 ,2,No,No,Excellent,Average,52,2013,12,2,,
15226 Se 1St Pl,Bellevue,WA,98007,"$400,000",3.00,2,"1,200",$333 ,0,No,No,None,Good,63,0,63,1,,
9808 Ne 204Th Pl,Bothell,WA,98011,"$400,000",4.00,3,"2,530",$158 ,0,No,Yes,None,Average,47,0,47,1,,
27818 Ne 141St St,Duvall,WA,98019,"$400,000",3.00,2,"2,140",$187 ,0,No,No,None,Average,39,0,39,2,,
19744 324Th Ave Ne,Duvall,WA,98019,"$400,000",4.00,2,"1,700",$235 ,0,No,Yes,None,Average,60,1993,32,1.5,,
8018 Ne 183Rd St,Kenmore,WA,98028,"$400,000",3.00,2,"1,450",$276 ,0,No,No,None,Average,16,0,16,2,,
18917 72Nd Ct Ne,Kenmore,WA,98028,"$400,000",3.00,2,"1,530",$261 ,0,No,No,None,Average,39,0,39,1,,
20210 78Th Pl Ne,Kenmore,WA,98028,"$400,000",5.00,2,"1,930",$207 ,0,No,Yes,None,Good,63,0,63,1,,
7221 Ne 156Th St,Kenmore,WA,98028,"$400,000",4.00,2,"1,670",$240 ,0,No,No,None,Average,70,2005,20,1,,
2811 Mill Ave S,Renton,WA,98055,"$400,000",3.00,2,"2,260",$177 ,0,No,Yes,None,Average,39,0,39,1,,
3704 Ne 14Th St,Renton,WA,98056,"$400,000",4.00,4,"2,370",$169 ,0,No,No,None,Average,12,1923,102,2.5,,
22834 Ne 25Th Way,Sammamish,WA,98074,"$400,000",3.00,2,"1,230",$325 ,0,No,Yes,None,Average,41,0,41,1,,
3617 48Th Ave Sw,Seattle,WA,98116,"$400,000",3.00,2,"1,050",$381 ,0,No,Yes,None,Good,97,0,97,1.5,,
3825 Ne 87Th St,Seattle,WA,98115,"$400,000",2.00,1,"1,470",$272 ,0,No,No,None,Fair,85,0,85,1,,
1108 29Th Ave S,Seattle,WA,98144,"$400,000",3.00,3,"1,495",$268 ,0,No,Yes,None,Average,19,0,19,3,,
6520-6588 8Th Ave Nw,Seattle,WA,98117,"$400,000",2.00,1,980,$408 ,0,No,Yes,None,Good,107,1974,51,1,,
12231 Densmore Ave N,Seattle,WA,98133,"$400,000",3.00,1,"1,430",$280 ,0,No,No,None,Good,75,1983,42,1.5,,
2150 N 128Th St,Seattle,WA,98133,"$400,000",4.00,2,"1,390",$288 ,0,No,Yes,None,Average,60,1993,32,1,,
5440 42Nd Ave Sw,Seattle,WA,98136,"$400,000",3.00,1,"1,040",$385 ,0,No,No,None,Average,83,1999,26,1,,
3922 Sw Kenyon St,Seattle,WA,98136,"$400,000",2.00,1,"1,140",$351 ,0,No,No,None,Average,83,1999,26,1,,
12001 Bartlett Ave Ne,Seattle,WA,98125,"$400,000",4.00,3,"1,240",$323 ,0,No,Yes,None,Average,38,2000,25,1,,
17228 11Th Ave Ne,Shoreline,WA,98155,"$400,000",3.00,1,"1,630",$245 ,0,No,No,None,Excellent,72,0,72,1,,
18032 Burke Ave N,Shoreline,WA,98133,"$400,000",3.00,3,"2,180",$183 ,0,No,Yes,None,Good,63,0,63,1,,
2357 N 187Th St,Shoreline,WA,98133,"$400,000",4.00,2,"2,230",$179 ,0,No,Yes,None,Good,62,0,62,1,,
17812-17818 Stone Ave N,Shoreline,WA,98133,"$400,000",4.00,2,"2,420",$165 ,0,No,Yes,None,Good,52,0,52,1,,
Brooktrails Trail 14,Woodinville,WA,98072,"$400,000",3.00,2,"1,760",$227 ,0,No,No,None,Good,58,0,58,1,,
15351 Ne 202Nd St,Woodinville,WA,98072,"$400,000",3.00,3,"2,970",$135 ,1,No,Yes,None,Average,58,2011,14,1,,
9531 S 204Th Pl,Kent,WA,98031,"$399,950",3.00,3,"2,570",$156 ,0,No,No,None,Average,36,0,36,2,,
2358 Fairview Ave E,Seattle,WA,98102,"$399,950",2.00,1,710,$563 ,0,No,No,None,Good,82,0,82,2,,
12303 Sand Point Way Ne,Seattle,WA,98125,"$399,950",3.00,3,"1,296",$309 ,0,No,No,None,Average,16,0,16,3,,
1770 19Th Ave S,Seattle,WA,98144,"$399,950",5.00,3,"1,970",$203 ,0,No,Yes,None,Average,39,0,39,1,,
11812 33Rd Ave Ne,Seattle,WA,98125,"$399,950",3.00,2,"2,080",$192 ,0,No,Yes,None,Average,66,1989,36,1,,
3630 Ne 123Rd St,Seattle,WA,98125,"$399,950",3.00,2,"1,560",$256 ,0,No,Yes,None,Good,85,2001,24,1,,
932-968 Ne High St,Issaquah,WA,98029,"$399,900",2.00,2,"1,410",$284 ,0,No,Yes,None,Average,14,0,14,1.5,,
5535 Elaine Ave Se,Auburn,WA,98092,"$399,895",4.00,3,"2,701",$148 ,0,No,No,None,Average,11,0,11,2,,
1559 N 130Th St,Seattle,WA,98133,"$399,888",4.00,2,"1,820",$220 ,0,No,Yes,None,Good,95,0,95,1.5,,
227 W Park St,North Bend,WA,98045,"$399,500",3.00,2,"2,420",$165 ,0,No,No,None,Average,114,1986,39,2,,
5048 35Th Ave Sw,Seattle,WA,98126,"$399,500",4.00,2,"1,360",$294 ,0,No,No,None,Good,97,0,97,1.5,,
16126 Se 249Th Pl,Covington,WA,98042,"$399,000",4.00,3,"3,060",$130 ,0,No,No,None,Average,24,0,24,2,,
16727 163Rd Pl Se,Renton,WA,98058,"$399,000",4.00,3,"2,870",$139 ,0,No,Yes,None,Average,46,2014,11,2,,
3209 63Rd Ave Sw,Seattle,WA,98116,"$399,000",2.00,1,940,$424 ,0,No,No,None,Good,114,1955,70,1,,
29613-29615 232Nd Ave Se,Black Diamond,WA,98010,"$398,000",2.00,1,590,$675 ,0,No,No,None,Average,42,2009,16,1.5,,
6006 41St Ave Sw,Seattle,WA,98136,"$398,000",3.00,3,"1,720",$231 ,0,No,Yes,None,Average,21,2003,22,2,,
11739 4Th Ave Nw,Seattle,WA,98177,"$397,990",3.00,1,"1,180",$337 ,0,No,No,None,Good,77,0,77,1,,
9325 Ne 133Rd St,Kirkland,WA,98034,"$397,500",3.00,2,"1,510",$263 ,0,No,Yes,None,Average,53,2002,23,1,,
22200 Se 255Th St,Maple Valley,WA,98038,"$397,500",4.00,3,"2,570",$155 ,0,No,No,None,Average,33,0,33,2,,
1000 Mountain View Blvd Se,North Bend,WA,98045,"$397,000",4.00,3,"2,320",$171 ,0,No,No,None,Average,28,0,28,2,,
14327 24Th Ave Ne,Seattle,WA,98125,"$397,000",5.00,1,"1,170",$339 ,0,No,Yes,None,Good,81,0,81,1,,
1337 14Th Ave S,Seattle,WA,98144,"$397,000",3.00,4,"1,360",$292 ,0,No,Yes,None,Average,18,0,18,2,,
7358 28Th Ave Sw,Seattle,WA,98126,"$396,675",2.00,1,"1,730",$229 ,0,No,No,None,Good,80,0,80,2,,
24292 141St Pl Se,Kent,WA,98042,"$396,500",3.00,3,"2,590",$153 ,0,No,No,None,Good,49,1992,33,1,,
13040 3Rd Ave Ne,Seattle,WA,98125,"$396,500",3.00,2,"2,390",$166 ,0,No,Yes,None,Average,70,2005,20,1,,
1106-1128 Lewis Ln Se,Issaquah,WA,98027,"$396,450",3.00,2,"1,540",$257 ,0,No,No,None,Excellent,58,0,58,1,,
3529 Sw Webster St,Seattle,WA,98126,"$396,167",3.00,2,"1,880",$211 ,0,No,Yes,None,Good,80,0,80,1,,
1323 145Th Ave Se,Bellevue,WA,98007,"$395,300",3.00,2,"1,120",$353 ,0,No,No,None,Average,70,2005,20,1,,
2716 Sw 170Th St,Burien,WA,98166,"$395,000",5.00,2,"1,840",$215 ,0,No,Yes,Good,Average,77,1994,31,1,,
24923 161St Pl Se,Covington,WA,98042,"$395,000",4.00,3,"2,910",$136 ,0,No,No,None,Average,23,0,23,2,,
475 Sw Forest Dr,Issaquah,WA,98027,"$395,000",4.00,1,"1,980",$199 ,0,No,Yes,None,Good,57,0,57,1,,
12921 231St Ave Se,Issaquah,WA,98027,"$395,000",3.00,2,"1,460",$271 ,1,No,No,None,Good,64,2001,24,1,,
19803 121St Ave Se,Kent,WA,98031,"$395,000",4.00,3,"2,640",$150 ,1,No,No,None,Average,62,2008,17,1.5,,
13547 104Th Pl Ne,Kirkland,WA,98034,"$395,000",3.00,2,"1,480",$267 ,0,No,No,None,Average,50,0,50,1,,
6730 Se 5Th St,Renton,WA,98059,"$395,000",3.00,3,"2,250",$176 ,0,No,No,None,Average,19,0,19,2,,
7505 Ravenna Ave Ne,Seattle,WA,98115,"$395,000",3.00,2,"1,080",$366 ,0,No,No,None,Good,105,0,105,1.5,,
4313 Sw Willow St,Seattle,WA,98136,"$395,000",2.00,2,"1,350",$293 ,0,No,Yes,None,Average,18,0,18,2,,
7350 31St Ave Sw,Seattle,WA,98126,"$395,000",4.00,2,"1,540",$256 ,0,No,Yes,None,Excellent,82,0,82,1,,
4517-4529 S Genesee St,Seattle,WA,98108,"$395,000",3.00,3,"1,600",$247 ,0,No,No,None,Average,18,0,18,2,,
6215 30Th Ave Nw,Seattle,WA,98107,"$395,000",1.00,1,730,$541 ,0,No,No,None,Average,114,1979,46,1,,
2000 30Th Ave S,Seattle,WA,98144,"$395,000",2.00,1,"1,320",$299 ,0,No,No,None,Good,116,1989,36,1.5,,
548 Ne 86Th St,Seattle,WA,98115,"$395,000",2.00,1,930,$425 ,0,No,No,None,Good,85,2001,24,1,,
8548 18Th Ave Nw,Seattle,WA,98117,"$395,000",3.00,1,"1,500",$263 ,0,No,Yes,None,Average,100,2002,23,1,,
16723 Corliss Pl N,Shoreline,WA,98133,"$395,000",4.00,3,"1,980",$199 ,0,No,Yes,None,Good,42,0,42,1,,
18625 Ridge Rd Sw,Vashon,WA,98070,"$395,000",4.00,3,"1,970",$201 ,1,No,No,None,Good,64,2001,24,1,,
5940 California Ave Sw,Seattle,WA,98136,"$394,950",3.00,3,"1,350",$293 ,0,No,Yes,None,Average,19,0,19,3,,
11619 Se 200Th St,Kent,WA,98031,"$394,500",4.00,3,"3,002",$131 ,0,No,No,None,Average,21,2003,22,2,,
8715 17Th Ave Nw,Seattle,WA,98117,"$394,475",2.00,1,830,$475 ,0,No,No,None,Average,70,2005,20,1,,
26309 235Th Ave Se,Maple Valley,WA,98038,"$394,000",4.00,3,"3,000",$131 ,0,No,No,None,Average,23,0,23,2,,
2709 Ne 22Nd St,Renton,WA,98056,"$392,500",4.00,3,"2,150",$183 ,0,No,No,None,Average,20,0,20,2,,
22835 16Th Ave S,Des Moines,WA,98198,"$392,000",5.00,2,"3,740",$105 ,1,No,Yes,None,Average,67,2004,21,1.5,,
25804-25810 Lake Wilderness Country Club Dr Se,Maple Valley,WA,98038,"$392,000",4.00,3,"1,940",$202 ,0,No,No,None,Average,35,2009,16,2,,
955 11Th Ct Sw,North Bend,WA,98045,"$391,500",3.00,3,"1,920",$204 ,0,No,No,None,Average,32,0,32,2,,
1039 165Th Pl Ne,Bellevue,WA,98008,"$391,400",4.00,2,"1,250",$313 ,0,No,No,None,Excellent,66,0,66,1,,
2134 Nw Boulder Way Dr,Issaquah,WA,98027,"$391,000",3.00,2,"1,410",$277 ,0,No,Yes,None,Average,21,2003,22,2,,
30271 129Th Ave Se,Auburn,WA,98092,"$390,000",4.00,3,"2,490",$157 ,0,No,No,None,Average,26,0,26,2,,
15839 84Th Ave Ne,Kenmore,WA,98028,"$390,000",3.00,3,"2,240",$174 ,0,No,No,None,Average,29,0,29,2,,
17116 Se Covington Sawyer Rd,Kent,WA,98042,"$390,000",4.00,2,"1,900",$205 ,2,No,No,None,Average,21,2003,22,1,,
14102 81St Pl Ne,Kirkland,WA,98034,"$390,000",3.00,2,"1,600",$244 ,0,No,Yes,None,Average,46,2014,11,1,,
1348 Sw 175Th St,Normandy Park,WA,98166,"$390,000",3.00,1,"1,240",$315 ,0,No,No,None,Good,73,0,73,1,,
14223 Se 179Th Pl,Renton,WA,98058,"$390,000",4.00,2,"1,770",$220 ,1,No,Yes,None,Good,60,0,60,1,,
16518-16526 147Th Ave Se,Renton,WA,98058,"$390,000",4.00,2,"2,700",$144 ,0,No,No,None,Good,57,0,57,1.5,,
808 Ne 117Th St,Seattle,WA,98125,"$390,000",3.00,2,"1,080",$361 ,0,No,No,None,Excellent,78,0,78,1,,
10111 32Nd Pl Sw,Seattle,WA,98146,"$390,000",3.00,2,"1,250",$312 ,0,No,No,None,Excellent,83,0,83,1,,
4438 44Th Ave Sw,Seattle,WA,98116,"$390,000",3.00,3,"1,370",$285 ,0,No,Yes,None,Average,19,0,19,2,,
7538 Roosevelt Way Ne,Seattle,WA,98115,"$390,000",3.00,2,"1,463",$267 ,0,No,No,None,Average,22,0,22,3,,
4146 20Th Ave Sw,Seattle,WA,98106,"$390,000",3.00,1,"1,160",$336 ,0,No,No,None,Average,115,2006,19,1.5,,
16714 Ne 158Th St,Woodinville,WA,98072,"$390,000",3.00,2,"1,180",$331 ,0,No,No,None,Good,58,0,58,1,,
206 Lingering Pine Dr Nw,Issaquah,WA,98027,"$389,999",3.00,2,"1,445",$270 ,0,No,Yes,None,Average,22,0,22,2,,
32800 7Th Ave Sw,Federal Way,WA,98023,"$389,950",4.00,3,"3,140",$124 ,0,No,No,None,Average,34,0,34,2,,
2310 Ne 191St St,Lake Forest Park,WA,98155,"$389,800",3.00,2,"1,880",$207 ,0,No,No,None,Average,66,1989,36,1,,
3738 Sw Ida St,Seattle,WA,98126,"$389,250",2.00,2,"1,490",$261 ,0,No,Yes,None,Average,69,2001,24,1,,
14323 73Rd Ave Ne,Kenmore,WA,98028,"$389,000",5.00,2,"2,330",$167 ,0,No,Yes,None,Good,63,0,63,1,,
